scenario	participant	archive	takes	minutes	proficiency	gender	university	captures	cameras	tasks
basketball	382	expert382_takes.tar	18	14.7	Late Expert	male	unc	unc_basketball_03-30-23_02	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	383	expert383_takes.tar	18	18.8	Late Expert	male	unc	unc_basketball_03-30-23_02	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	384	expert384_takes.tar	18	14.8	Late Expert	male	unc	unc_basketball_03-31-23_01	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	385	expert385_takes.tar	18	16.4	unlabelled	male	unc	unc_basketball_03-31-23_01	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	386	expert386_takes.tar	18	12.2	Late Expert	male	unc	unc_basketball_03-31-23_01	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	387	expert387_takes.tar	18	14.1	Late Expert	male	unc	unc_basketball_03-31-23_02	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	354	expert354_takes.tar	16	16.7	Late Expert	male	unc	unc_basketball_02-24-23_01;unc_basketball_03-09-23_01;unc_basketball_03-17-23_01	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	388	expert388_takes.tar	16	14.6	Late Expert	male	unc	unc_basketball_03-31-23_02	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	380	expert380_takes.tar	15	13.7	Intermediate Expert	male	unc	unc_basketball_03-30-23_01	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	413	expert413_takes.tar	14	7.4	Late Expert	unrecorded	sfu	sfu_basketball_03	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	379	expert379_takes.tar	13	12.1	Late Expert	male	unc	unc_basketball_03-30-23_01	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	381	expert381_takes.tar	13	10.7	Late Expert	male	unc	unc_basketball_03-30-23_01	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	410	expert410_takes.tar	13	8.5	Late Expert	unrecorded	sfu	sfu_basketball_02	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	423	expert423_takes.tar	13	9.6	Intermediate Expert	unrecorded	sfu	sfu_basketball_07	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	433	expert433_takes.tar	13	7.6	Intermediate Expert	unrecorded	sfu	sfu_basketball_11	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	431	expert431_takes.tar	12	7.7	Intermediate Expert	unrecorded	sfu	sfu_basketball_10	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	432	expert432_takes.tar	12	6.4	Late Expert	unrecorded	sfu	sfu_basketball_11	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	407	expert407_takes.tar	11	5.9	Late Expert	unrecorded	sfu	sfu_basketball_01	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	414	expert414_takes.tar	11	7.2	Late Expert	unrecorded	sfu	sfu_basketball_03	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	417	expert417_takes.tar	11	5.3	Late Expert	unrecorded	sfu	sfu_basketball_04	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	430	expert430_takes.tar	11	6.9	Early Expert	unrecorded	sfu	sfu_basketball_10	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	356	expert356_takes.tar	10	27.6	Intermediate Expert	male	unc	unc_basketball_02-24-23_01;unc_basketball_02-24-23_02;unc_basketball_03-09-23_01	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	427	expert427_takes.tar	10	8.5	Intermediate Expert	unrecorded	sfu	sfu_basketball_08	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	371	expert371_takes.tar	9	6.5	Late Expert	male	unc	unc_basketball_03-16-23_01	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	372	expert372_takes.tar	9	9.1	Intermediate Expert	male	unc	unc_basketball_03-16-23_01	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	376	expert376_takes.tar	9	7.5	Intermediate Expert	male	unc	unc_basketball_03-17-23_01	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	377	expert377_takes.tar	9	9.8	Early Expert	male	unc	unc_basketball_03-17-23_01	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	409	expert409_takes.tar	9	4.7	Late Expert	unrecorded	sfu	sfu_basketball_01	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	415	expert415_takes.tar	9	4.3	Late Expert	unrecorded	sfu	sfu_basketball_03	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	559	expert559_takes.tar	9	8.3	Intermediate Expert	unrecorded	sfu	sfu_basketball013	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	564	expert564_takes.tar	9	8.0	Intermediate Expert	unrecorded	sfu	sfu_basketball013	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	355	expert355_takes.tar	8	10.1	Early Expert	male	unc	unc_basketball_02-24-23_01	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Reverse Layup
basketball	357	expert357_takes.tar	8	8.2	Early Expert	male	unc	unc_basketball_02-24-23_01;unc_basketball_02-24-23_02	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	359	expert359_takes.tar	8	7.9	Early Expert	female	unc	unc_basketball_02-24-23_01;unc_basketball_02-24-23_02	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	364	expert364_takes.tar	8	10.4	Early Expert	female	unc	unc_basketball_03-09-23_02	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	370	expert370_takes.tar	8	7.3	Early Expert	male	unc	unc_basketball_03-16-23_01	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	408	expert408_takes.tar	8	3.4	Late Expert	unrecorded	sfu	sfu_basketball_01	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	426	expert426_takes.tar	8	7.0	Intermediate Expert	unrecorded	sfu	sfu_basketball_09	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	363	expert363_takes.tar	7	9.8	Early Expert	female	unc	unc_basketball_03-09-23_01;unc_basketball_03-09-23_02	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	373	expert373_takes.tar	7	9.8	Early Expert	female	unc	unc_basketball_03-16-23_02	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	314	expert314_takes.tar	6	6.6	Intermediate Expert	female	uniandes	uniandes_basketball_001	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	315	expert315_takes.tar	6	6.6	Late Expert	female	uniandes	uniandes_basketball_002	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	316	expert316_takes.tar	6	5.6	Intermediate Expert	female	uniandes	uniandes_basketball_002	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	317	expert317_takes.tar	6	6.3	Intermediate Expert	female	uniandes	uniandes_basketball_001	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	318	expert318_takes.tar	6	6.8	Late Expert	female	uniandes	uniandes_basketball_001	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	319	expert319_takes.tar	6	4.8	Intermediate Expert	female	uniandes	uniandes_basketball_001	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	320	expert320_takes.tar	6	6.3	Intermediate Expert	female	uniandes	uniandes_basketball_002	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	323	expert323_takes.tar	6	6.4	Intermediate Expert	female	uniandes	uniandes_basketball_002	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	324	expert324_takes.tar	6	7.3	Late Expert	male	uniandes	uniandes_basketball_003	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	325	expert325_takes.tar	6	6.5	Intermediate Expert	male	uniandes	uniandes_basketball_003	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	326	expert326_takes.tar	6	5.9	Late Expert	male	uniandes	uniandes_basketball_003	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	327	expert327_takes.tar	6	6.1	Late Expert	male	uniandes	uniandes_basketball_003	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	329	expert329_takes.tar	6	5.2	Intermediate Expert	male	uniandes	uniandes_basketball_003	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	330	expert330_takes.tar	6	5.1	Early Expert	male	uniandes	uniandes_basketball_003	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	422	expert422_takes.tar	6	6.9	Intermediate Expert	unrecorded	sfu	sfu_basketball_06	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	328	expert328_takes.tar	5	5.0	Intermediate Expert	female	uniandes	uniandes_basketball_003	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	365	expert365_takes.tar	5	5.6	Early Expert	female	unc	unc_basketball_03-09-23_02	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	368	expert368_takes.tar	5	5.6	Early Expert	male	unc	unc_basketball_03-09-23_02	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	375	expert375_takes.tar	5	6.1	Early Expert	female	unc	unc_basketball_03-16-23_02	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	332	expert332_takes.tar	3	3.1	Late Expert	male	uniandes	uniandes_basketball_004	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	333	expert333_takes.tar	3	3.0	Late Expert	male	uniandes	uniandes_basketball_004	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	335	expert335_takes.tar	3	2.9	Intermediate Expert	female	uniandes	uniandes_basketball_004	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	337	expert337_takes.tar	3	3.2	Intermediate Expert	male	uniandes	uniandes_basketball_004	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	340	expert340_takes.tar	3	2.8	Intermediate Expert	male	uniandes	uniandes_basketball_004	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	342	expert342_takes.tar	3	2.9	Intermediate Expert	male	uniandes	uniandes_basketball_004	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	343	expert343_takes.tar	3	3.3	Early Expert	male	uniandes	uniandes_basketball_004	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	345	expert345_takes.tar	3	2.8	Intermediate Expert	male	uniandes	uniandes_basketball_004	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	346	expert346_takes.tar	3	2.8	Intermediate Expert	male	uniandes	uniandes_basketball_004	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	347	expert347_takes.tar	3	3.2	Intermediate Expert	male	uniandes	uniandes_basketball_005	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	348	expert348_takes.tar	3	3.5	Intermediate Expert	female	uniandes	uniandes_basketball_005	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	349	expert349_takes.tar	3	3.1	Intermediate Expert	male	uniandes	uniandes_basketball_005	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	351	expert351_takes.tar	3	3.3	Intermediate Expert	male	uniandes	uniandes_basketball_005	cam01;cam02;cam03;cam04	Basketball Drills - Mid-Range Jump Shooting;Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
basketball	374	expert374_takes.tar	3	4.0	Early Expert	male	unc	unc_basketball_03-16-23_02	cam01;cam02;cam03;cam04	Basketball Drills - Mikan Layup;Basketball Drills - Reverse Layup
cooking	50	expert50_takes.tar	10	48.1	Early Expert/Intermediate Expert	female	iiith	iiith_cooking_03;iiith_cooking_04;iiith_cooking_05;iiith_cooking_141;iiith_cooking_142;iiith_cooking_143;iiith_cooking_56;iiith_cooking_57	cam01;cam02;cam03;cam04	Cooking Tomato & Eggs;Cooking an Omelet;Making Milk Tea
cooking	58	expert58_takes.tar	6	19.5	Intermediate Expert	female	iiith	iiith_cooking_40;iiith_cooking_41;iiith_cooking_42;iiith_cooking_43;iiith_cooking_44;iiith_cooking_45	cam01;cam02;cam03;cam04	Cooking an Omelet;Making Milk Tea
cooking	61	expert61_takes.tar	6	27.1	Intermediate Expert/Novice	male	iiith	iiith_cooking_137;iiith_cooking_138;iiith_cooking_55;iiith_cooking_58;iiith_cooking_59;iiith_cooking_60	cam01;cam02;cam03;cam04	Cooking Tomato & Eggs;Cooking an Omelet;Making Milk Tea
cooking	49	expert49_takes.tar	5	42.2	Early Expert/Novice	male	iiith	iiith_cooking_01;iiith_cooking_02;iiith_cooking_134;iiith_cooking_135;iiith_cooking_136	cam01;cam02;cam03;cam04	Cooking Tomato & Eggs;Cooking an Omelet;Making Milk Tea
cooking	52	expert52_takes.tar	4	16.6	Early Expert	female	iiith	iiith_cooking_09;iiith_cooking_10;iiith_cooking_11;iiith_cooking_12	cam01;cam02;cam03;cam04	Cooking an Omelet;Making Milk Tea
cooking	53	expert53_takes.tar	4	23.5	Intermediate Expert/Novice	female	iiith	iiith_cooking_13;iiith_cooking_15;iiith_cooking_16;iiith_cooking_18	cam01;cam02;cam03;cam04	Cooking an Omelet;Making Milk Tea
cooking	55	expert55_takes.tar	4	18.7	Early Expert/Intermediate Expert	female	iiith	iiith_cooking_25;iiith_cooking_26;iiith_cooking_27;iiith_cooking_28	cam01;cam02;cam03;cam04	Cooking an Omelet;Making Milk Tea
cooking	56	expert56_takes.tar	4	18.4	Intermediate Expert/Novice	male	iiith	iiith_cooking_29;iiith_cooking_30;iiith_cooking_31;iiith_cooking_32	cam01;cam02;cam03;cam04	Cooking an Omelet;Making Milk Tea
cooking	54	expert54_takes.tar	3	12.4	Early Expert/Novice	male	iiith	iiith_cooking_19;iiith_cooking_22;iiith_cooking_24	cam01;cam02;cam03;cam04	Cooking an Omelet;Making Milk Tea
cooking	115	expert115_takes.tar	3	16.5	Early Expert	unrecorded	sfu	sfu_cooking_009	cam01;cam02;cam04;cam05	Cooking an Omelet;Making Chai Tea
cooking	530	expert530_takes.tar	3	13.3	Early Expert	Female	iiith	iiith_cooking_89;iiith_cooking_90	cam01;cam02;cam03;cam04	Cooking an Omelet;Making Milk Tea
cooking	109	expert109_takes.tar	2	12.7	Early Expert	unrecorded	sfu	sfu_cooking_003	cam01;cam02;cam04;cam05	Cooking Scrambled Eggs;Making Milk Tea
cooking	190	expert190_takes.tar	2	6.5	Early Expert	female	iiith	iiith_cooking_64;iiith_cooking_65	cam01;cam02;cam03;cam04	Cooking an Omelet;Making Milk Tea
cooking	523	expert523_takes.tar	2	5.4	Early Expert	Female	iiith	iiith_cooking_77;iiith_cooking_79	cam01;cam02;cam03;cam04	Cooking an Omelet
cooking	112	expert112_takes.tar	1	14.7	Intermediate Expert	unrecorded	sfu	sfu_cooking_006	cam01;cam02;cam04;cam05	Making Chai Tea
cooking	114	expert114_takes.tar	1	9.8	Intermediate Expert	unrecorded	sfu	sfu_cooking_008	cam01;cam02;cam04;cam05	Cooking Tomato & Eggs
cpr	92	expert92_takes.tar	3	4.6	unlabelled	male	nus	nus_cpr_07;nus_cpr_46	cam01;cam02;cam03;cam04	First Aid - CPR
cpr	93	expert93_takes.tar	3	4.0	unlabelled	male	nus	nus_cpr_08;nus_cpr_47	cam01;cam02;cam03;cam04	First Aid - CPR
cpr	95	expert95_takes.tar	3	3.6	unlabelled	female	nus	nus_cpr_11;nus_cpr_50	cam01;cam02;cam03;cam04	First Aid - CPR
cpr	96	expert96_takes.tar	3	4.3	unlabelled	male	nus	nus_cpr_12;nus_cpr_51	cam01;cam02;cam03;cam04	First Aid - CPR
cpr	98	expert98_takes.tar	3	4.8	unlabelled	female	nus	nus_cpr_14;nus_cpr_52	cam01;cam02;cam03;cam04	First Aid - CPR
cpr	105	expert105_takes.tar	3	4.0	unlabelled	female	nus	nus_cpr_24;nus_cpr_54	cam01;cam02;cam03;cam04	First Aid - CPR
cpr	125	expert125_takes.tar	3	5.0	unlabelled	male	nus	nus_cpr_09;nus_cpr_48	cam01;cam02;cam03;cam04	First Aid - CPR
cpr	802	expert802_takes.tar	3	3.2	unlabelled	male	nus	nus_cpr_32	cam01;cam02;cam03;cam04;cam05	First Aid - CPR
cpr	813	expert813_takes.tar	3	3.5	unlabelled	female	nus	nus_cpr_44	cam01;cam02;cam03;cam04;cam05	First Aid - CPR
cpr	827	expert827_takes.tar	3	2.7	unlabelled	female	nus	nus_cpr_43	cam01;cam02;cam03;cam04;cam05	First Aid - CPR
cpr	91	expert91_takes.tar	2	2.3	unlabelled	male	nus	nus_cpr_03	cam01;cam02;cam03;cam04	First Aid - CPR
cpr	97	expert97_takes.tar	2	2.3	unlabelled	male	nus	nus_cpr_13	cam01;cam02;cam03;cam04	First Aid - CPR
cpr	99	expert99_takes.tar	2	3.0	unlabelled	male	nus	nus_cpr_15	cam01;cam02;cam03;cam04	First Aid - CPR
cpr	101	expert101_takes.tar	2	3.0	unlabelled	female	nus	nus_cpr_19	cam01;cam02;cam03;cam04	First Aid - CPR
cpr	102	expert102_takes.tar	2	2.5	unlabelled	female	nus	nus_cpr_21	cam01;cam02;cam03;cam04	First Aid - CPR
cpr	103	expert103_takes.tar	2	2.3	unlabelled	female	nus	nus_cpr_22	cam01;cam02;cam03;cam04	First Aid - CPR
cpr	104	expert104_takes.tar	2	3.2	unlabelled	female	nus	nus_cpr_23	cam01;cam02;cam03;cam04	First Aid - CPR
